start	end	text
179000	185000	映画にしたってミュージックでしたって、カフェにしたって、化粧品販売にしたって、確実に回収できるという保障はそんなにしないわけでね。
185000	192000	最後はエイヤーなんですよ。基本的にはエイヤー、やるのって決めるしかないですね。もちろんですね、成功確率そのものを高めることって難しい。
193000	200000	ただ一方でですね、これをやっちゃうと絶対に終わっちゃうよねっていうところを避けてですね、知識率を下げるってことだって言っていると思う。
200000	203000	それはですね、もうこれまでを散々やってきたことかなと思います。
203000	208000	そのためにはやはりですね、豊富な知識と冷静な分析が必要であるということです。
208000	212000	すみません、これ皆さん僕も聞こえてますが、ちょっとコメントが止まってしまってちょっと不安になってきたので、
212000	216000	まあとにかく冷静な知識と判断が必要であるということですね。
217000	223000	それまでですね、最近は横丁の先輩から、すでに横丁をやられている方からですね、いろいろとお話を伺っているんですけれども、
223000	229000	けれども、これね、おもろいです。話を聞いているとですね、反乗させることができるんですよ、西田さん。
229000	233000	横丁でお客さんが、まあまあ結構来てくださってるなっていう反乗させることができる。
233000	237000	が、大きな利益を得ることは難しい、まあ無理じゃないです。
237000	241000	実際に毎年利益は出ておりますが、横丁を作るのにかけたお金があるわけじゃないですか。
242000	249000	で、これも回収できる目処も立っておりますが、回収までに結構時間がかかっちゃいますっていうのが、横丁をやられている先輩方のご意見なんですね。
249000	252000	これ生々しい話ですね。利益だから出てるんですよ。
252000	259000	だから、続けることは別にできると。なので、横丁をやって今の形で食っていくっていうことは利益が出てるからね。
259000	266000	で、何年後に回収できる、それが5年後なのか6年後なのか、回収の目処も立っているので、また食ってくってことはできるんです。
266000	273000	でも、回収には時間がかかるっていうのが、先輩方のご意見だと。現場の声だと。
273000	279000	これも面白いですね。確かに横丁に並んでるのは、決して高くはない料理っていうか、それがいいんですけど、利益が良くなさそうですよね。
279000	282000	そこでさ、和牛とシャンパンが出てないじゃないですか。
282000	285000	やっぱり僕、最大の弱点は何かっていうと、バックエンド商品がないことだと思ってました。
285000	290000	牛丼しか提供してない、ヨシノヤのような、ハンバーガーしか提供してないような、マクドナルドのような話で。
290000	293000	やっぱりヨシノヤってさ、牛丼では利益が出ないんですよ、やっぱり。
293000	297000	フロントエンドの場合は、どこで利益出すかっていうと、お味噌汁とかそっちなわけでね。
297000	299000	マクドナルドの人ってハンバーガーでは利益出ないですよ。
299000	301000	100円バーガーの人に利益出るわけないじゃないですか。
301000	303000	コーラとかで利益が出るわけでね。
303000	308000	マクドナルドの場合っていうと、もうちょっと言うと、そのぐらいにさらに不動産っていうのがあるんですけども、不動産商品があるってあるんですけども、
308000	314000	とにかくバックエンド商品が横丁にはないなっていうのが、結構どの横丁も共通して言えることかなと思っております。
314000	319000	なのでフロントエンド商品、つまり集客装置で頑張って利益を作ってるっていうのが横丁の現在地なのかなと思っております。
319000	324000	例えばね、エビス横丁になるんですよ。エビス横丁ってもうナンパスポットなんですよ、そこ。
324000	332000	ナンパスポットってことは、ナンパする人の気持ちになったら、絶対これ、どっかでエッチしたいって考えるんだろうなと思うんですよ。
332000	335000	ナンパしてる人は、今日このことエッチできたらいいなって考えると思うんですよね。
336000	341000	ってことは、エビス横丁なんかをですね、バックエンドにラボテンを用意するくらいの仕掛けがあるといいんでしょうね。
341000	348000	だってお客さんがその後、これめっちゃ大事なんですよ。自分たちが集客したお客さんのその後の動産を先回りして、そこにキャッシュポイントを用意しておくっていうのは、これビジネスの基本的です。
348000	354000	これほとんどのエンタメはできてないです。なんかエンタメやる人って、お客さんの動産っていうのは全く意識しないです。
354000	363000	チケット売ります。グッズ売ります。だけ。ちょっと待って、ここに人を運んだらってことは、もうもしかしたら、この人たちここ来るまで喉乾いてるかもしれない。だったら水売れよって話じゃないですか。
363000	368000	ですよね。みたいな話。この人たち終わりで飲みに行くかもしれない。だったら飲み屋作ってくよって話なんで。
368000	374000	ここまで集客をしたのは自分たちなんだから。この後の動産っていうのはお客さんの動産が完全に先回りさほうがいいよっていう話。
374000	387000	これはビジネスの基本の木ですね。それも横丁はできていないのかなと思います。横丁に集客しておきながら、その後のお客さんの動産を先回りしてキャッシュポイントを置くみたいなことが、全国の横丁でできていないなっていうことを感じております。
387000	395000	横丁オーナーさんから話を聞けば聞くほど、横丁っていうものは個人で作ることができる最小単位のテーマパークであるってことが見える。
396000	402000	だからこそ、そこにある苦労をロマンで誤魔化すことができるわけですが、先ほど申し上げました横丁は利益が出ます。
402000	415000	忍者さん、利益は出てるんです。ただ回収まで最低でも5、6年かかっちゃいます。っていう状態なので、横丁を2個、3個、4個、5個と展開していくには、ちょっとロマンだけでは成り立たないことがある。
416000	424000	回収するのに5年かかるから、5年後にもこう作って、また5年かかって回収して、また5年後に作ってるんですけど、ちょっと待って15年で3個しか作れないんじゃないかって話になってくるんで、
424000	438000	これでは横丁を大きく展開していくことは不可能だと。なので今の段階で確実に分かっていることは何かというと、このまま横丁を作ってもこの状態で大きな利益が見込めないため、大々的に横展開ができず、どこか自己満足で終わってしまうということですね。
438000	444000	これが横丁の現地です。今の時点で分かっているのは大きいですよ。ならばどうするかっていうところから話が始まるので。
444000	455000	でも今でぼんやりと思ってるのは、横丁オーナーがバラバラに動きすぎているがために、オーナー同士が共闘関係ないがために、作れるかもしれないバックエンド商品が作れていないっていうことかなと思います。
455000	465000	これイメージしやすいところでいうと、横丁のグッズとしてね、例えば横丁Tシャツが作るにしてもさ、各横丁がバラバラに動いてるから、世界観を統一していないからね、各横丁ごとに作らなきゃいけないですね。
465000	473000	そうするとその分その都度デザイン費が高くなってくるし、業者に発注するロト数もさ、各横丁ごとにTシャツが作ってたらさ、ロト数も少ないんで、原価が跳ね上がってしまう。
473000	480000	で、結局利益が出ないんですね。それはそうですよ。Tシャツを50枚作るのと、Tシャツを5000枚作るのでは、1枚あたりの原価が変わってくるわけでね。
480000	487000	でも横丁1個しかなかったら、50枚はせいぜいいいところですよ。これは横丁が100個あったら5000枚1年パーって作って、各横丁で売りましょうって話になりますけれども。
488000	493000	こういう戦い方っていないと思います。というかそもそもほとんどのお客さんが、地方のお店さんが作った横丁Tシャツがいらないってあるんですけれども、
493000	501000	ただですね、各うちの横丁を1つにまとめてアートの面から攻めたりだとか、例えば何とか横丁みたいな感じでパリコレに出るなんかして、パリコレって意外と出れるんですけど、
501000	510000	最近僕ちょっと別件でですね、アパレルの事業にですね、ちょっと相談役みたいな感じで、多分趣旨もすると思うんですけど、してるんですけど、意外とパリコレって出れるんですって。
510000	515000	それは面白いですよね。何とか横丁でパリコレ、何とか横丁って書いてあるクソなTシャツでパリコレのアースもあるんじゃおもろいですね。
515000	520000	まあそんな感じできちんとブランディングをしていれば横丁Tシャツを販売する可能性も出てくるのかなと思います。
520000	527000	なんだよこれっていうブランディングがあるじゃないですか。それこそジャパニーズハンサムの靴下4000足があれ速乾したんですよ。あれって結構ギャグだったじゃないですか。
527000	535000	オシャレみたいなことではなくて、なんだジャパニーズハンサムっていうので、ギャグで4000足が速乾したんですね。でかいっすよね4000足ってね。
536000	541000	あ、でもそういった感じでバックエンドにアパレルを構えるとか、そういったビジネスアイデアが必要なんだと思います。
541000	554000	ちなみに我々チームリーターンはですね、エンタメゴリゴリ作っている裏でですね、コンサルだったりイベントサポートだったり、会社の顧問だったり日用品だったり、それをですねバックエンド商品にセールことで置くことで、それをですねエンタメで積み上げた信用そこに落とし込むことでリエイトを作っている会社であると。
554000	556000	やっぱりバックエンド商品っていうのは非常に重要なんですね。
556000	562000	まあ、これに対しまして現時点で後ろだと分かっていることは各地の横丁がバラバラに動いても大きな結果が出ない。キャッシュポイントの創造に限界があるということですね。
562000	566000	個人プレイに走らずですね、世界観を統一して一つのブランドにしていくことが大切なんだということが現時点で分かっている。
566000	583000	ただですね、こっからはちょっと皆さんにも、皆さんのサービスにも言える話なんじゃないかなと思いますが、海外に出てみるとね、どこの国ってもそうなんですけども、例えば中国とか韓国とかはですね、和を持って等々してますみたいな感じで、みんなね、和の精神なんですよ。
583000	591000	和の精神に基づいてまず手を取り合って、で市場を拡大しっていうかマーケットを作ってですね、その後利益を分かっちゃうっていう合理的な動きをしているんですね。
591000	605000	一方ですね、日本人は個人プレイ、目先の小さな利益に走りがちで、日本人って全然コミュニティ作んないんですよ。あるよ、各地方各地方各地方に日本人コミュニティはあるんですけれども、なんかね、みんなコミュニティ作るのがめっちゃ下手。
606000	619000	手を組むのがとにかく下手で、結局みんな最終的な個人プレイに走っちゃうんですよ。この差がですね、チャイナタウンとかコリアンタウンという形となって現れて、逆に日本はですね、各地に展開する個別の日本食店、日本料理店みたいな感じで、そういった風に結果が出ている。
619000	624000	どちらの方がですね、飲食以外の集客力を持って結果として多くのお金を生み出しているかっていうのはもう明白ですよね。
625000	627000	チャイナタウンとかコリアンタウン作ってもでかいですよ。
627000	629000	もうあれ体験になる。
629000	632000	ご飯食べに行くだけじゃなくて、中華街ちょっと歩こうかしらみたいな。
632000	634000	中華街にお土産とかあるかみたいな。
634000	636000	街になった瞬間にお土産があるんですね。
636000	642000	だって、FR2もそうじゃないか、中華街にお店出してるんじゃないか、確か横浜のお土産屋さん出してるんです。
642000	647000	中華街のお土産ってあるんです。コリアンタウンのお土産ってあるんです。飲食だけじゃないんです。
647000	651000	でもあれはコミュニティを作ったからなんですよね。マーケットを作ったからなんですよね。組んだからなんですよね。
651000	657000	日本人っていうのはですね、合力的にチームを組んで利益を最大化するっていうのが、とにかく苦手だよ。
657000	665000	ビジネスの現場でもですね、僕はこれがやりたいとか、私はこれがやりたいっていう感じで、子供の頃のお店屋さんごっこの延長みたいな感覚でやっちゃいがちなんですね。
665000	670000	なんでこうなるのかなっていろいろ考えたんですけど、やっぱ背景にはですね、日本が島国であることが大きいかなと思います。
670000	673000	それで最近にはエリアスも影響するなっていうことを思わされます。
673000	677000	やっぱ外部からのですね、海外からの情報利用に限られてくるじゃないですか。
677000	684000	昨日もと言うか、日曜日の発明医学っていうのをやって、そこでようやくオセロのことを取り上げていただきましたが、
684000	686000	どんだけ時間かかんのよっていう。
686000	692000	オセロで週間工業成績1になりましたみたいな、日本に全然ね、おなかったじゃないですか、情報が。
692000	696000	発明医学もね、スタッフさんがそれを扱ってくださったおかげで、もう感謝なんですけど。
696000	698000	外からの情報が全然入ってきてないんですよね。
698000	704000	なので世界基準を正しく把握できないまま、周囲の日本人レベルだけを比較対象にしてしまうっていうものがある。
704000	708000	その結果ですね、自分が作った世界観でも十分に戦えるかもって、5人してしまうんです。
708000	711000	私の世界観、これ素敵、いけるかもって5人しちゃうかも。
711000	715000	このようにですね、自己政策物への過剰な評価、これいわゆるイケア効果って言ったりしますが、
715000	717000	いけるかも、私の最高素敵っていう。
717000	721000	たぶんそれなんで素敵かって思うんです。なんで素敵って思えるかけど、知らねえからなんですよ。
721000	724000	いや、ちょっとめっちゃダサいよ、お前作ってるのっていう話なんですけど、
724000	726000	めっちゃしょぼいよ、お前が作ってるのって話なんですけど、
726000	729000	そんなものを比較してないと分からないんですよ。
729000	732000	友達と比較して私すごいぐらいのレベルなんで。
732000	735000	これやっぱイケア効果がガンガン出てしまってるっていう。
735000	740000	これあらゆるビジネス上の判断に影響を与えてるって可能性が日本では否定できないなと思います。
740000	744000	で、ここなんで、ブレーメン放送なんでちょっと適微しい話をするとね、
744000	748000	いや、お前の世界観なんぞ一縁にもならないから、ちゃんとあやかりなさいと。
748000	751000	乗る船をですね、ちゃんと選びなさいと。
751000	753000	ってこと何万回言っても無駄なんですね。
753000	758000	嫌だ嫌だ、嫌だ嫌だ嫌だ、私の世界観を届けたいんだもん、絶対に嫌だ、みたいな感じで。
759000	761000	なんてちょっと落ち着けと。
761000	765000	お前がたくさんの人間を引きつける世界観を持ち合わせていたのなら、
765000	768000	仮にその才能をお持ちなのだとするなら、
768000	771000	今頃お前はそんなとこにいないと。
771000	775000	世界観を作るっていうことが一番でかいビジネスだ。
775000	777000	大手がほっとくわけないでしょ。
777000	780000	世界観というもの、この世界観好きっていうものを作れたらですね、
780000	783000	何億何十億何百億っていうお金がガッて動くんで、
783000	787000	そんなもの作れたら、作れるやつは、そんなとこにいないと。
787000	790000	じゃあなぜお前の人に甘んじてるんだって、それが作れなかったからです。
790000	792000	それはしょうがないです。
792000	794000	100メートル9秒で走れないじゃないですか。
794000	796000	しょうがないですよ。
796000	798000	年間フォーグラム50本売ってないじゃないですか。
798000	800000	それしょうがないですよ。
800000	804000	なんかみんなアイディアとか、そういう世界観みたいなものは、
804000	807000	私でもあんちゃんあると思ってもう言っちゃうんですけども、
807000	808000	それは無理であるっていうことですね。
808000	810000	俺説得しても無駄なんですよ。
810000	813000	各地に展開する横丁の弱点というのはまさにここだなと思います。
813000	815000	何かっていうとお金を出す人が、
815000	819000	そのまま世界観をディレクションしてしまっているっていう点ですけど。
819000	821000	無茶苦茶なことしてるんですよ。
821000	823000	横丁って世界観ビジネスなんですよ。
823000	826000	あそこに行きたいっていうエンターテイメントなんです。
826000	829000	これをお金を出す人がやっちゃってるんです。
829000	831000	変なことやってると分かる?
831000	833000	ブーオードウェイミュージカルで例えるならば、
833000	835000	投資家やプロデューサーが演出家をしてるみたいな。
835000	837000	演出の経験なんかないよ。
837000	838000	だって投資家なんだよ。
838000	841000	だけどお金を出したからちょっと演出させて言ってるようなもんです。
841000	843000	お前は経営のプロであって、
843000	845000	エンターテイメントのディレクターではないだろって言っても、
845000	848000	日本の人に言っても結構無駄なの。
848000	850000	彼は持ちは持ちやってもできないんです。
850000	855000	時々中小企業の社長がクソだせいTシャツデザインしてきたりするじゃないですか。
855000	857000	お前はデザインのプロじゃないじゃん。
857000	859000	なんでそんなことやっちゃうのって思っちゃうんですけど、
859000	862000	何かお金出しての俺だからみたいな感じでやっちゃうんですね。
862000	864000	先ほど申し上げましたが、横丁っていうのは個人で作ることができる。
864000	866000	最小単位のテーマパークなんで。
866000	867000	オーナーがですね、
867000	869000	面顔かなってみたいな感じで、
869000	872000	こことばかりで世界各口を挟んでしまうんですね。
872000	876000	まるで俺がお金を出したんだからって言わんばかり。
876000	878000	これはちょっと厳しいなと思うんですね。
878000	881000	僕ね、スナックキャンディーの長崎の
881000	885000	ママから、実は長崎で横丁が作られて、
885000	888000	そこにキャンディー出展するようになったんですって話を伺って、
888000	889000	あそこらしいですね。
889000	891000	長崎でキャンディー展望目ができるんだって、
891000	894000	それは本当にママの日々の努力のせいかなと思います。
895000	898000	素晴らしいなって、すごい頑張られたんだなって思ったんですけど、
898000	900000	ちなみに横丁、どんな感じですかって言ったら、
900000	901000	めっちゃダサいですよ。
901000	903000	絶望的にダサくて、
903000	907000	え、何この照明、これデザイナー誰?って。
907000	911000	ちょっと僕ね、あまりにもダサすぎて、
911000	913000	聞いたらですね、企画立案した人が、
913000	914000	そうなんか口出してるんですよ。
914000	916000	いや、そりゃそうなるようなあったんで、
916000	918000	この人空間なんか作ったことないんだから、
918000	919000	しかもいけや効果なんですよ。
919000	922000	僕が作ったの最高でしょうみたいになっちゃうんですけど、
922000	925000	もうね、友達にこれ見せたんですよ、長崎の横丁の。
925000	927000	みん、全員絶句してます。
927000	930000	え、お金かけてこれ作っちゃうんだって。
930000	932000	もったいない。
932000	933000	めちゃくちゃダサいですよ。
933000	936000	でもやっぱ、分かんなくなるんですよね。
936000	938000	横丁だって結構それあるなって思います。
938000	941000	この間ね、九州のね、あれ何横丁だったっけ、
941000	943000	道の市場みたいな、
943000	945000	月間ポペルで行かせていただいたところがあったんですけど、
945000	947000	そことかちょっと素敵でしたね。
947000	949000	あれは僕、プロに頼んだ人がスパイスワークスタッフさんだってな、
949000	950000	に頼んだんですけど、
950000	952000	それは本当に素敵な感じだったんですけど、
952000	954000	ピン切りだなと思うんですけど、
954000	956000	お金を出すからで、口も出すみたいなことしちゃうと、
956000	958000	まあ、ひれもってやっちゃう。
958000	960000	で、これは勝てないっていうか、
960000	962000	っていうかもう申し上げましたが、大きな利益だって構造になってないんで、
962000	963000	どれだけ圧力も持っていてもですね、
963000	965000	フランチアイザーは難しいっていう、横展開のスピードが遅くなるっていう、
965000	967000	海外展開になるのかな、青沢がね、
967000	969000	もう一度はすいませんなんだもんなと言って、
969000	971000	やっぱね、同じ系列の横丁が世界中に100カ所あったらですね、
971000	973000	ちゃんと組んでね、世界で100カ所作ったらとするじゃない、
973000	975000	ニューヨークに3カ所、
975000	977000	ロサンゼルス4カ所、
977000	979000	マンキョートに1カ所、
979000	981000	東京に1カ所、
981000	983000	沖縄に1カ所、中国に、
983000	985000	サルトラビアに、アブタミに、
985000	987000	2カ所みたいな感じで、
987000	989000	同じ系列の横丁、なんとか横丁、ワールド横丁みたいなのが世界中に100カ所あればですね、
989000	991000	そうすると普通の現場は下げられるし、
991000	993000	あとですね、
993000	995000	昨日結構いろんな方に相談してたんですけども、
995000	997000	海外に日本のIPを生み出したいっていう企業ってやっぱり山ほどあるんですね、
997000	999000	うん、
999000	1001000	日本に自分がIPをどっから攻めていくかっていうときに、
1001000	1003000	広告宣伝費みたいなのを出すわけで、
1003000	1005000	その企業はね、
1005000	1007000	そのプラットフォームとして、そっかワールド横丁に、
1007000	1009000	わかんないけど、
1009000	1011000	2000万出すから、
1011000	1013000	その代わり世界中100カ所のワールド横丁で
1013000	1015000	うちのIPちょっと1週間ちょっと押し出してくださいよ、
1015000	1017000	っていう話であるじゃないですか、
1017000	1019000	そうするとこの企業から、
1019000	1021000	予算引っ張ってくることができる、
1021000	1023000	これもやっぱね、名を取ってくるわけですね、
1023000	1025000	100カ所あるからそれができるって話で、
1025000	1027000	だからひとまず組んである程度名を獲得しないことがですね、
1027000	1029000	なかなかわからないなぁと思っております。
1029000	1031000	このプロジェクトをですね、僕が旗を振ってやるのならば、
1031000	1033000	というか僕が旗振らないとまとまらない気もするんですけど、
1033000	1035000	今の僕にはですね、横丁方面の経験があまりもしないんで、
1035000	1037000	まずはトライアルで執行するから、
1037000	1039000	インポネント化、横丁作るか、
1039000	1041000	コブデミとか、一回やってみたら、
1041000	1043000	あれはセンスに存在してる横丁のですね、
1043000	1045000	スタッフとして参画しようかな、
1045000	1047000	マジで給料もらって働いてるのかな、
1047000	1049000	いやもう、
1049000	1051000	給料の場合、少なくとも3倍くらいのものも入るから、
1051000	1053000	ちょっと勉強で、勉強としてやってみようかな、
1053000	1055000	みたいな感じですね。
1055000	1057000	今そんなこと考えております。
1057000	1059000	やっぱり手を組まないといけないよな、
1059000	1061000	手を組まないから日本人は負けるんだ、ということをですね、
1061000	1063000	海外はすごく感じております。
1063000	1065000	これは横丁に書いてある話なので、
1065000	1067000	みんな個人プレイに走り過ぎたっていう、個人プレイに走ったら、
1067000	1069000	いいことがあんま引っ込まないっていう、
1069000	1071000	ここはですね、他のビジネスにも言えることなんじゃないかな、
1071000	1073000	すいません、長々とお付き合いくださいまして、ありがとうございました。
1073000	1075000	革命つけです。またお会いしましょう。キンポムの西田清子でした。
1075000	1077000	じゃあ、またね。
