■店舗名: LA BRIQUE SAPPORO Akarenga Terrace,,,
月別サマリー,,,
ダイナースクラブ,1342830,,
au PAY,1007480,,
WAON,674650,,
交通系電子マネー,518140,,
楽天Edy,295030,,
Alipay+,274700,,
nanaco,172880,,
WeChat Pay,127500,,
メルペイ,124100,,
銀聯,79150,,
その他クレジット,49650,,
DISCOVER,8650,,
電子マネー１,7250,,
,,,
店舗合計,91,756,112
,,,
,,,
■店舗名: カフェ セレステ,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,500070,,
Dec-24,552360,,
Jan-25,273790,,
Feb-25,557550,,
Mar-25,573660,,
Apr-25,422230,,
May-25,1065370,,
Jun-25,1233890,,
Jul-25,1434180,,
Aug-25,1672620,,
Sep-25,1093660,,
Oct-25,899350,,
,,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
PayPay,3074360,,
VISA,1843060,,
交通系電子マネー,1021800,,
MasterCard,716970,,
d払い,688200,,
JCB,540790,,
QUICPay,514990,,
iD,401080,,
アメリカン・エキスプレス,345480,,
au PAY,330370,,
WAON,292110,,
MUFGカード,115800,,
楽天Edy,110040,,
nanaco,87350,,
Alipay+,64220,,
メルペイ,53590,,
WeChat Pay,52910,,
ダイナースクラブ,16250,,
Alipay,3350,,
その他クレジット,2400,,
J-Coin Pay,2200,,
DISCOVER,1410,,
,,,
店舗合計,10,278,730
,,,
,,,
■店舗名: ヌーベルプース大倉山 - REPOS,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,4514836,,
Dec-24,6967681,,
Jan-25,3933673,,
Feb-25,4962876,,
Mar-25,5021933,,
Apr-25,4534158,,
May-25,4924946,,
Jun-25,3917900,,
Jul-25,5901295,,
Aug-25,6945790,,
Sep-25,5068880,,
Oct-25,5811690,,
,,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
VISA,19541927,,
JCB,12907449,,
MasterCard,7905495,,
MUFGカード,7090816,,
アメリカン・エキスプレス,5868367,,
PayPay,3161887,,
その他クレジット,1982790,,
d払い,1029615,,
ダイナースクラブ,817171,,
交通系電子マネー,434225,,
iD,392215,,
QUICPay,389755,,
au PAY,259200,,
WAON,240121,,
Alipay+,221260,,
メルペイ,84425,,
nanaco,48670,,
楽天Edy,43120,,
WeChat Pay,42330,,
Alipay,40920,,
J-Coin Pay,3900,,
,,,
店舗合計,62,505,658
,,,
,,,
■店舗名: ルスツ羊蹄ぶた by BRIQUE,,,
月別サマリー,,,
年月,月間合計,,
Nov-24,0,,
Dec-24,0,,
Jan-25,0,,
Feb-25,0,,
Mar-25,0,,
Apr-25,0,,
May-25,0,,
Jun-25,1606528,,
Jul-25,1906573,,
Aug-25,1884333,,
Sep-25,1424369,,
Oct-25,1642067,,
,,,
カテゴリ別サマリー,,,
ブランド,ブランド合計,,
電子マネー,4311946,,
その他クレジット,3260724,,
PayPay,284910,,
iD,180840,,
d払い,158960,,
QUICPay,131530,,
交通系電子マネー,89830,,
楽天Edy,28880,,
交通系IC,13150,,
Alipay,1600,,
MasterCard,1500,,
,,,
店舗合計,8,463,870
,,,
,,,
■総合計,410,78,261
